38 Provinsi,,,,
,Dimensi Afeksi Indeks Kebahagiaan,,,
,Perasaan Senang/Riang/Gembira,Perasaan Tidak Khawatir/Cemas,Perasaan Tidak Tertekan,Dimensi Afeksi (Total)
,2021,2021,2021,2021
ACEH,77.45,55.26,62.64,63.75
SUMATERA UTARA,77.13,55.14,64.01,64.14
SUMATERA BARAT,77.6,57.7,65.47,65.75
RIAU,78.78,55.89,65.42,65.36
JAMBI,79.89,68.78,72.78,73.15
SUMATERA SELATAN,79.11,58.77,67.16,67.16
BENGKULU,75.92,59.37,65.06,65.77
LAMPUNG,78.4,57.83,64.22,65.53
KEP. BANGKA BELITUNG,80,63.6,69.73,70.13
KEP. RIAU,81.55,60.53,69.79,69.42
DKI JAKARTA,77.78,53.81,60.13,62.37
JAWA BARAT,76.06,54.68,62.71,63.21
JAWA TENGAH,77.48,61.85,67.59,68.03
DI YOGYAKARTA,78.05,61.24,65.79,67.29
JAWA TIMUR,77.81,59.27,65.6,66.43
BANTEN,73.55,52.31,59.83,60.61
BALI,76.14,58.13,66.69,65.98
NUSA TENGGARA BARAT,76.65,57.2,62.61,64.25
NUSA TENGGARA TIMUR,77.47,55.67,60.59,63.14
KALIMANTAN BARAT,80.17,59.87,65.82,67.34
KALIMANTAN TENGAH,79.35,61.36,68.39,68.63
KALIMANTAN SELATAN,79.66,62.83,68.22,69.2
KALIMANTAN TIMUR,80.71,58.52,65.16,66.74
KALIMANTAN UTARA,82.52,63.8,71.92,71.68
SULAWESI UTARA,82.49,58.44,63.94,66.72
SULAWESI TENGAH,81.91,56.82,66.1,66.77
SULAWESI SELATAN,79.03,60.95,68.25,68.35
SULAWESI TENGGARA,80.5,60.68,67.57,68.38
GORONTALO,82.36,59.81,70.06,69.47
SULAWESI BARAT,81.98,57.48,65.21,66.7
MALUKU,83.75,58.88,67.53,68.54
MALUKU UTARA,84.23,58.83,65.59,67.92
PAPUA BARAT,82.26,60.5,66.32,68.3
PAPUA BARAT DAYA,-,-,-,-
PAPUA,75.96,57.18,61.7,63.72
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,77.64,57.91,64.87,65.61
