38 Provinsi,,,,,,,,,,,,,
,Dimensi Kepuasan Hidup Indeks Kebahagiaan,,,,,,,,,,,,
,[Subdimensi Personal] Pendidikan,[Subdimensi Personal] Pekerjaan,[Subdimensi Personal] Pendapatan Rumah Tangga,[Subdimensi Personal] Kesehatan,[Subdimensi Personal] Kondisi Rumah dan Aset,Subdimensi Personal (Total),[Subdimensi Sosial] Hubungan Sosial,[Subdimensi Sosial] Keadaan Lingkungan,[Subdimensi Sosial] Kondisi Keamanan,[Subdimensi Sosial] Keharmonisan Keluarga,[Subdimensi Sosial] Ketersediaan Waktu Luang,Subdimensi Sosial (Total),Dimensi Kepuasan Hidup (Total)
,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ACEH,62.99,72.89,67.4,75.45,71.6,70,80.93,81.32,81.6,84.29,76.81,81.01,75.5
SUMATERA UTARA,61.57,70.81,64.75,76,72.95,69.05,79.2,80.94,78.9,82.62,75.33,79.44,74.24
SUMATERA BARAT,62.56,71.29,66.06,75.82,73.11,69.63,77.86,81.52,80.54,82.64,74.13,79.34,74.49
RIAU,61,72.8,67.02,76.57,74.06,70.21,79.84,81.77,81.09,84.64,77.41,80.95,75.58
JAMBI,64.29,74.55,69.85,77.02,74.47,72,80.17,82.63,81.46,85.11,77.66,81.4,76.7
SUMATERA SELATAN,62.06,72.03,65.65,77.19,73.68,69.96,80.39,81.5,79.87,85.14,76.38,80.68,75.32
BENGKULU,58.07,69.06,64.69,73.88,70.99,67.26,77.59,79.69,80.61,81.8,72.26,78.4,72.83
LAMPUNG,62.44,71.5,66.1,76.74,72.74,69.75,79.18,82.69,78.98,83.2,76.93,80.22,74.98
KEP. BANGKA BELITUNG,62.07,73.41,68.04,76.35,76.66,71.26,79.97,83.36,84.04,84.13,76.66,81.62,76.44
KEP. RIAU,68.54,75.34,67.63,78.36,79.25,73.63,80.81,81.99,80.99,87.06,78.18,81.8,77.72
DKI JAKARTA,68.67,74.38,67.48,76.41,75.61,72.35,75.74,78.67,78.12,81.69,76.81,78.15,75.25
JAWA BARAT,61.88,71.44,65.49,75.34,72.53,69.21,77.78,81.09,79.7,81.56,75.52,79.13,74.17
JAWA TENGAH,62.53,71.31,65.57,76.06,72.61,69.46,79.46,81.78,82.76,81.69,74.84,80.12,74.79
DI YOGYAKARTA,64.78,70.08,63.68,76.35,73.4,69.38,79.47,81.42,82.47,82.12,72.52,79.64,74.51
JAWA TIMUR,62.51,72.88,69.06,77.14,75.69,71.4,79.91,82.91,82.81,81.75,76.2,80.73,76.07
BANTEN,61.38,71.09,65.56,73.38,71.01,68.42,74.59,78.67,77.57,79.04,74.25,76.79,72.61
BALI,65.44,72.08,62.97,76.01,73.71,69.78,78.24,81.98,82.62,82.01,75.13,79.98,74.88
NUSA TENGGARA BARAT,57.44,70.55,63.45,76.15,70.7,67.51,80.7,81.58,81.76,84.16,73.31,80.36,73.93
NUSA TENGGARA TIMUR,61.55,71.78,63.57,74.29,69.59,68.02,81.7,82.39,83.37,83.18,75.18,81.21,74.61
KALIMANTAN BARAT,60.92,72.27,67.26,76.33,74.79,70.25,80.9,80.94,82.81,84.07,75.98,80.95,75.6
KALIMANTAN TENGAH,64.03,73.89,69.24,77.77,75.13,71.93,80.28,79.57,82.05,84.3,76.87,80.6,76.27
KALIMANTAN SELATAN,63.74,74.58,70.3,77.22,75.61,72.27,78.41,80.45,81.72,84.16,76.09,80.13,76.2
KALIMANTAN TIMUR,68.12,76.11,71.44,78.9,78.35,74.51,78.3,78.39,80.07,84.79,78.02,79.86,77.18
KALIMANTAN UTARA,68.89,79.32,73.21,80.99,80.05,76.45,82.21,82.71,84.14,86.62,79.71,83.06,79.75
SULAWESI UTARA,70.86,78.26,72.34,79.58,79.03,75.93,82.97,84.97,84.99,85.34,80.35,83.73,79.83
SULAWESI TENGAH,67.74,77.38,71.1,79.12,75.52,74.1,82.49,83.37,83.57,86.73,78.98,83.03,78.57
SULAWESI SELATAN,61.95,74.31,68.99,76.82,74.1,71.21,80.52,83.04,83.47,84.24,76.91,81.64,76.42
SULAWESI TENGGARA,61.52,75.45,67.92,77.36,74.01,71.21,83.34,83.07,85.72,86.52,79.26,83.58,77.4
GORONTALO,67.77,78.32,68.06,77.64,73.95,73.05,84.98,83.2,85.59,88.39,78.75,84.21,78.63
SULAWESI BARAT,56.81,73.19,67.8,76.53,73.22,69.53,85.03,84.32,86.29,86.91,77.96,84.15,76.84
MALUKU,71.25,78.33,72.7,80.72,78.42,76.17,82.6,85.71,85.71,88.82,80.93,84.72,80.45
MALUKU UTARA,69.12,78.9,74.14,80.94,77.86,76.16,85.22,85.28,86.39,89.02,82.16,85.61,80.88
PAPUA BARAT,68.04,76.67,69.58,80.27,76.73,74.1,81.98,83.35,81.43,87.19,78.17,82.45,78.27
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,61.89,71.28,66.14,76.17,69.98,68.95,76,79.32,76.89,79.66,75.64,77.5,73.23
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,62.79,72.37,66.76,76.28,73.64,70.26,79.1,81.56,81.2,82.56,75.87,80.07,75.16
