38 Provinsi,,,,,,,
,Dimensi Makna Hidup Indeks Kebahagiaan,,,,,,
,Kemandirian,Penguasaan Lingkungan,Pengembangan Diri,Hubungan Positif Dengan Orang Lain,Tujuan Hidup,Penerimaan Diri,Dimensi Makna Hidup (Total)
,2021,2021,2021,2021,2021,2021,2021
ACEH,75.3,74.71,67.18,73.07,74.21,77.25,73.74
SUMATERA UTARA,74.58,74.8,63.7,72.04,74.38,75.65,72.71
SUMATERA BARAT,74.41,74.43,67.45,72.72,73.75,76.05,73.25
RIAU,74.75,75.3,66.76,72.54,75.76,76.98,73.84
JAMBI,75.21,76.46,68.36,74.54,78.72,78.42,75.44
SUMATERA SELATAN,75.01,75.42,67.1,72.69,76.74,76.76,74.11
BENGKULU,70.89,71.67,62.96,69.39,73.04,72.31,70.21
LAMPUNG,73.64,74.69,67.57,72.49,76.46,77.13,73.81
KEP. BANGKA BELITUNG,73.71,74.78,62.29,72.48,74.9,77.68,72.85
KEP. RIAU,77.02,78.53,71.2,73.83,79.65,78.82,76.68
DKI JAKARTA,73.48,74.39,70.2,71.14,75.86,75.88,73.6
JAWA BARAT,72.94,73.81,66.91,71.5,74.62,75.2,72.63
JAWA TENGAH,72.59,74.08,62.45,70.76,74.77,76.08,72
DI YOGYAKARTA,72.27,74.26,65.72,72.1,76.36,75.43,72.86
JAWA TIMUR,73.98,74.68,65.32,72.28,75.65,76.21,73.19
BANTEN,69.91,70.72,65.55,68.83,72.59,73.4,70.28
BALI,73.07,74.07,69.2,71.41,74.25,74.9,72.92
NUSA TENGGARA BARAT,70.83,72.84,60.64,72.45,73.73,75.46,71.18
NUSA TENGGARA TIMUR,73.11,74.98,63.48,73.51,73.79,75,72.48
KALIMANTAN BARAT,74.13,75.36,67.66,73.75,75.57,76.85,74.02
KALIMANTAN TENGAH,74.01,74.67,65.97,73.23,77.57,77.85,74.05
KALIMANTAN SELATAN,73.76,75.4,69.21,73.17,76.91,78.41,74.61
KALIMANTAN TIMUR,75.49,76.96,71.58,74.34,78.52,77.84,75.91
KALIMANTAN UTARA,76.21,77.8,74.62,75.72,79.48,78.26,77.1
SULAWESI UTARA,77.17,78.58,71.63,78.08,79.71,79.37,77.54
SULAWESI TENGAH,76.8,78.62,70.59,77.7,79.14,80.18,77.3
SULAWESI SELATAN,74.02,75.21,67.05,73.45,75.77,77.41,73.96
SULAWESI TENGGARA,75.89,77.08,69.27,75.77,76.49,78.52,75.63
GORONTALO,76.45,77.92,62.98,75.56,79.05,80.55,75.67
SULAWESI BARAT,74.09,76.87,71.03,75.37,79.71,79.34,76.19
MALUKU,80.33,80.84,71.46,78.51,81.71,80.89,79.12
MALUKU UTARA,80.67,81.39,70.49,79.38,81.57,81.88,79.41
PAPUA BARAT,77.26,78.47,66.34,75.55,79.3,80.02,76.37
PAPUA BARAT DAYA,-,-,-,-,-,-,-
PAPUA,73.71,73.47,65.37,73.42,71.73,74.14,72.07
PAPUA SELATAN,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-
INDONESIA,73.56,74.52,66.09,72.16,75.33,76.15,73.12
